brand,official_name,kcal,servings,first_seen,last_seen
7-11,晶英-起司火腿雙餡土司,335,,2026-09-26,2026-09-26
7-11,晶英酒店奶凍蜜瓜包,258,,2026-09-26,2026-09-26
7-11,晶英酒店糖霜檸檬蛋糕棒,112,,2026-09-26,2026-09-26
7-11,晶華-四起司香草烤雞握便當,414,,2026-09-26,2026-09-26
7-11,晶華-府城肉燥厚切排骨飯,696,,2026-09-26,2026-09-26
7-11,晶華-港式油雞臘味飯,541,,2026-09-26,2026-09-26
7-11,晶華-金黃魚子燒賣,271,,2026-09-26,2026-09-26
7-11,晶華壽喜燒牛肉新極大飯糰,289,,2026-09-26,2026-09-26
7-11,晶華法式千層派,412,,2026-09-26,2026-09-26
7-11,晶華紐奧良風味烤雞堡,332,,2026-09-26,2026-09-26
7-11,杏鮑菇,14,,2026-09-26,2026-09-26
7-11,杜拜巧克力千層蛋糕,243,,2026-09-26,2026-09-26
7-11,杜拜巧克力大福,172,,2026-09-26,2026-09-26
7-11,松珍素花枝丸,133,,2026-09-26,2026-09-26
7-11,松珍素鮮嫩炸雞塊,200,,2026-09-26,2026-09-26
7-11,松稜糖燻雞翅,238,,2026-09-26,2026-09-26
7-11,林聰明-雞肉飯飯糰,226,,2026-09-26,2026-09-26
7-11,桂冠素三杯炒飯,620,,2026-09-26,2026-09-26
7-11,桂冠黃金魚蛋,32,,2026-09-26,2026-09-26
7-11,植物的優芒果蜜桃優格,202,,2026-09-26,2026-09-26
7-11,椒鹽無骨排骨酥,354,,2026-09-26,2026-09-26
7-11,椒鹽蔬食香雞排,436,,2026-09-26,2026-09-26
7-11,椒麻辣味熱狗,217,,2026-09-26,2026-09-26
7-11,極濃生乳布丁,153,,2026-09-26,2026-09-26
7-11,極饗-台灣鯛西魯肉燴飯,603,,2026-09-26,2026-09-26
7-11,極饗-四川風味麻辣豆腐飯,655,,2026-09-26,2026-09-26
7-11,極饗-府城鹽水風味意麵,586,,2026-09-26,2026-09-26
7-11,極饗-沙茶豬肉燴飯,684,,2026-09-26,2026-09-26
7-11,極饗-滑蛋牛肉燴飯,580,,2026-09-26,2026-09-26
7-11,極饗-炸豬排炒飯,807,,2026-09-26,2026-09-26
7-11,極饗-紅燒牛雙寶燴飯,574,,2026-09-26,2026-09-26
7-11,極饗-維力炸醬巧克力拌麵,660,,2026-09-26,2026-09-26
7-11,極饗-蒜蓉蝦拌麵,453,,2026-09-26,2026-09-26
7-11,極饗-蔥爆沙茶牛肉炒麵,571,,2026-09-26,2026-09-26
7-11,極饗-蕃茄蛋湯麵,463,,2026-09-26,2026-09-26
7-11,極饗-豪華秘製雙拼餐盒,715,,2026-09-26,2026-09-26
7-11,極饗-香腸雙拼便當,701,,2026-09-26,2026-09-26
7-11,極饗-馬上大吉(雞) 腿便當,701,,2026-09-26,2026-09-26
7-11,橙香雪貝霜淇淋,165,,2026-09-26,2026-09-26
7-11,檸檬鮪魚冷義大利麵,494,,2026-09-26,2026-09-26
7-11,櫸木燻雞飯糰,215,,2026-09-26,2026-09-26
7-11,歐姆蛋包飯,498,,2026-09-26,2026-09-26
7-11,歐姆蛋牛肉咖哩飯,666,,2026-09-26,2026-09-26
7-11,水牛城風味香辣雞翅,209,,2026-09-26,2026-09-26
7-11,水蜜桃牛奶霜淇淋,179,,2026-09-26,2026-09-26
7-11,永心鳳茶剝皮辣椒燉雞盅,130,,2026-09-26,2026-09-26
7-11,油香椒麻蒟蒻(全素),170,,2026-09-26,2026-09-26
7-11,法式香頌,326,,2026-09-26,2026-09-26
7-11,法蘭希迷你布里乾酪,67,,2026-09-26,2026-09-26
7-11,波隆那風植物肉醬義大利麵,481,,2026-09-26,2026-09-26
7-11,泰濃郁！奶茶風味霜淇淋,172,,2026-09-26,2026-09-26
7-11,海鮮蛋白棒,84,,2026-09-26,2026-09-26
7-11,海鮮青醬焗飯,490,,2026-09-26,2026-09-26
7-11,海鹽蜂蜜牛奶霜淇淋,191,,2026-09-26,2026-09-26
7-11,涓豆腐泡菜冬粉,155,,2026-09-26,2026-09-26
7-11,溏心蛋紐奧良風味烤雞三明治,235,,2026-09-26,2026-09-26
7-11,滷味香蔥肉丸,84,,2026-09-26,2026-09-26
7-11,滷豬血,14,,2026-09-26,2026-09-26
7-11,滷鼎記香滷鵪鶉蛋,176,,2026-09-26,2026-09-26
7-11,滿漢大餐酸菜牛肉拌麵,546,,2026-09-26,2026-09-26
7-11,滿漢小香腸_青花椒,221,,2026-09-26,2026-09-26
7-11,潮粵坊 楊枝甘露,166,,2026-09-26,2026-09-26
7-11,潮粵坊-爆炒豚肉,579,,2026-09-26,2026-09-26
7-11,火腿醬香炒飯,645,,2026-09-26,2026-09-26
7-11,炊肉圓,221,,2026-09-26,2026-09-26
7-11,炙烤鹽蔥燒肉飯糰,191,,2026-09-26,2026-09-26
7-11,炙燒明太子鮭魚飯糰,185,,2026-09-26,2026-09-26
7-11,炙燒雞胸肉,48,,2026-09-26,2026-09-26
7-11,炭火燒肉飯糰,179,,2026-09-26,2026-09-26
7-11,炸彈菠蘿葡萄奶酥,466,,2026-09-26,2026-09-26
7-11,烘蛋植肉堡,426,,2026-09-26,2026-09-26
7-11,烤雞奶香焗飯,642,,2026-09-26,2026-09-26
7-11,焗烤奶油蝦仁通心粉,532,,2026-09-26,2026-09-26
7-11,無框架甜點-金沙雪椪,212,,2026-09-26,2026-09-26
7-11,焦糖海鹽小可頌,241,,2026-09-26,2026-09-26
7-11,煙燻鮭魚、帆立貝沙拉,89,,2026-09-26,2026-09-26
7-11,煙燻鮭魚冷麵,514,,2026-09-26,2026-09-26
7-11,燻腸紅醬義大利麵,684,,2026-09-26,2026-09-26
7-11,爆汁新星腸,97,,2026-09-26,2026-09-26
7-11,爆汁起司熱狗,200,,2026-09-26,2026-09-26
7-11,爆漿起司,313,,2026-09-26,2026-09-26
7-11,爆漿起司燻腸飯卷,488,,2026-09-26,2026-09-26
7-11,爆炒滷雞胗,173,,2026-09-26,2026-09-26
7-11,爆蛋流心豬肉堡,461,,2026-09-26,2026-09-26
7-11,爪哇咖哩豬肉飯,553,,2026-09-26,2026-09-26
7-11,牛角-炙燒雙拼便當,614,,2026-09-26,2026-09-26
7-11,獨饗三起司蔥抓餅,494,,2026-09-26,2026-09-26
7-11,獨饗薄皮黃金煎餃,276,,2026-09-26,2026-09-26
7-11,玫瑰鹽濃焦糖霜淇淋,186,,2026-09-26,2026-09-26
7-11,瑞穗鮮乳土司PREMIUM,286,,2026-09-26,2026-09-26
7-11,瑪格麗特筆管麵,632,,2026-09-26,2026-09-26
7-11,甘王草莓卡士達霜淇淋,174,,2026-09-26,2026-09-26
7-11,甘納豆芋泥平燒,286,,2026-09-26,2026-09-26
7-11,甜玉米,76,,2026-09-26,2026-09-26
7-11,甜鹽蜜語牛奶霜淇淋,191,,2026-09-26,2026-09-26
7-11,生乳烤布丁,191,,2026-09-26,2026-09-26
7-11,白蘿蔔,8,,2026-09-26,2026-09-26
7-11,盛香珍完熟芒果鮮果凍,183,,2026-09-26,2026-09-26
7-11,真飽雙醬義大利麵,767,,2026-09-26,2026-09-26
7-11,石安牧場剝皮辣椒茶碗蒸,94,,2026-09-26,2026-09-26
7-11,石安牧場椒麻溫泉蛋,106,,2026-09-26,2026-09-26
7-11,石安牧場溏心蛋飯糰,168,,2026-09-26,2026-09-26
7-11,石安牧場溫泉蛋(2入),106,,2026-09-26,2026-09-26
7-11,石安牧場蔬食茶碗蒸,98,,2026-09-26,2026-09-26
7-11,石安牧場香滷蛋白丁,33,,2026-09-26,2026-09-26
7-11,祥和塔香香鬆飯糰,230,,2026-09-26,2026-09-26
7-11,福樂Q果草莓覆盆莓優酪,111,,2026-09-26,2026-09-26
7-11,福樂Q果蘋果蔓越莓優酪135g,108,,2026-09-26,2026-09-26
7-11,福樂燕麥草莓優酪150g,133,,2026-09-26,2026-09-26
7-11,福樂超能蛋白無加糖優酪,113,,2026-09-26,2026-09-26
7-11,福樂超能蛋白百香果優酪,113,,2026-09-26,2026-09-26
7-11,章魚燒串,49,,2026-09-26,2026-09-26
7-11,竹葉堂黑糖蕨餅,275,,2026-09-26,2026-09-26
7-11,筊白筍,6,,2026-09-26,2026-09-26
7-11,筒仔米糕,207,,2026-09-26,2026-09-26
7-11,米血糕,129,,2026-09-26,2026-09-26
7-11,米香-三杯雞燴飯,700,,2026-09-26,2026-09-26
7-11,米香-催淚蛋親子丼飯,636,,2026-09-26,2026-09-26
7-11,米香-蟹黃蝦仁豆腐煲燴飯,627,,2026-09-26,2026-09-26
7-11,米香-蟹黃豆腐煲燴飯,627,,2026-09-26,2026-09-26
7-11,粥天子-廣式皮蛋瘦肉煲粥,301,,2026-09-26,2026-09-26
7-11,粥天子-田園雞蓉玉米粥,261,,2026-09-26,2026-09-26
7-11,粥天子-白粥,152,,2026-09-26,2026-09-26
7-11,粥天子-阿發師香菇雞肉粥,234,,2026-09-26,2026-09-26
7-11,糯米腸,249,,2026-09-26,2026-09-26
7-11,紅燒牛雙寶燴飯,574,,2026-09-26,2026-09-26
7-11,紐奧良風味烤雞,323,,2026-09-26,2026-09-26
7-11,紐奧良風味烤雞蔬菜捲,280,,2026-09-26,2026-09-26
7-11,紐約客辣味熱狗,403,,2026-09-26,2026-09-26
7-11,統一布丁(焦糖出走咘布),111,,2026-09-26,2026-09-26
7-11,統一木瓜牛乳霜淇淋,166,,2026-09-26,2026-09-26
7-11,統一麵包椰香葡萄,356,,2026-09-26,2026-09-26
