product_name,old_category,new_category
：抹茶白玉酷繽沙$59,冰品,冰品
：抹茶千層蛋糕/$59,甜點,甜點
： (區域型商品請註明 試吃試用品請標示價格0元) 55元 甜點兩件六九折,其他,其他
： 油雞99 獅子頭89,便當,便當
：抹茶生巧起斯塔/$45,甜點,甜點
： 巧克力雙餡Q皮雪燒55，搭咖啡半價,冰品,冰品
：光泉優質蛋白牛奶/一起結帳忘記了 (區域型商品請註明 試吃試用品請標示價格0元),飲料,飲料
：伊藤園抹茶x 焦糖蘇打霜淇淋 $49,冰品,冰品
：巧克力雙餡Q皮雪燒 $55 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：御飯糰 高雄櫻花祭 生鮭魚夾心飯糰,便當,便當
：半熟玉子辣擔擔義大利麵/129,便當,便當
： 全家Fami!ce霜淇淋 伊藤園抹茶x焦糖蘇打/原價一支49元，3/6-10 5日5好康2支55元 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：原萃鍋煮風味麥茶/$30,飲料,飲料
：御飯糰 高雄櫻花祭 生鮭魚夾心飯糰 : 【便利商店/廠商名稱】：7-11 : 【規格/內容物/熱量】：141g 245大卡 : 【評分】：60 : (未滿60分為不推薦) : 【心得】： : https://images.plurk.com/5pa0IfBz5xXB5DmMrM7IGn.jpg : 成分表 吃完了才想要PO文所以沒照片 : 今天早餐在甜麵包(之前試試看維也納牛奶軟法+熱狗 吃起來很怪哈哈)跟這個之間抉擇 : 結果一吃完就馬上來當個版PO文 : 這個飯糰真的好鹹啊......而且看成分表裡說有山葵 可是我現在怎麼回味都沒有 : 就只記得這個好鹹 還是這是個別情況？ : 給60是因為我喜歡鮭魚 只吃肉也沒有太鹹 : 鈉含量也彷彿好像沒有太高啊 到底為什麼那麼鹹～～ --,飲料,飲料
：伊藤園抹茶霜淇淋 $49,冰品,冰品
：韓式辣醬鮪魚夾心吐司 40元 (區域型商品請註明 試吃試用品請標示價格0元),麵包,麵包
：抹茶霜淇淋兩支55/抹茶千層59,冰品,冰品
：抹茶霜淇淋 49 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
： 西雅圖 蜜香咖啡紅茶、四季春拿鐵 150 買一送一,飲料,飲料
： 蝦仁鹽味炒飯飯糰 $45,便當,便當
：極饗蕃茄蛋湯麵 89(I珍食58） (區域型商品請註明 試吃試用品請標示價格0元),泡麵,泡麵
：全家排球少年 給我五分鐘茶包式咖啡/ 199 ；任二盒+59可加購撲 克牌,飲料,飲料
：好吃雞肉便當 89元,便當,便當
：惡魔乳酪生義大利麵/99,便當,便當
：乖乖奶油椰子霜淇淋 49 ibon票券優惠買一送一 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
：北海道哈密瓜霜淇淋 隨買跨店取4支98 (區域型商品請註明 試吃試用品請標示價格0元),冰品,冰品
